"","Object","Ch1.mean","Ch2_d1.mean","Ch3_d1.mean","Ch4_d1.mean","Ch5_d1.mean","Ch6_d1.mean","Ch7_d1.mean","Ch1..pixels","Ch1.sum","Ch1.max","Ch1.SD","Ch1.AR","Ch1.F_min","Ch1.F_max","Ch1.mean_th","Ch1.mean_sq","Ch1_d0.mean","Ch1_d0.sum","Ch1_d0.max","Ch1_d0.SD","Ch1_d0.mean_th","Ch1_d0.mean_sq"
"14020","Normal",37,7,4,0,0,6,0,33,1244,41,3.554766327,1.456021978,5,7.280109889,38,1444,37,1244,41,36.44173432,38,1369
"5667","Normal",30,1,1,0,0,5,0,53,1618,39,2.897624271,1.79637099,1.707106781,3.066597099,30,900,30,1618,39,25.42840486,30,900
"2393","Normal",33,5,1,0,0,2,0,146,4854,41,3.45221787,1.325284673,5.270176667,6.98448436,33,1089,33,4854,41,29.85249123,33,1089
"11247","Normal",34,1,1,0,0,5,0,83,2831,47,4.438332477,1.412445074,3.018240393,4.263098776,36,1296,34,2831,47,31.27780691,36,1156
"15170","Disease A",68,4,2,1,1,2,0,78,5340,126,25.66500161,2.496238845,3.426521218,8.553415368,90,8100,68,5340,126,58.94271448,90,4624
"28757","Disease A",47,4,0,0,0,1,0,65,3055,65,6.658713204,1.968057074,1.673687974,3.293913456,50,2500,47,3055,65,39.0782253,50,2209
"21958","Disease A",47,3,6,3,0,53,9,65,3098,66,6.285514482,2.390510419,1.649915823,3.944140965,49,2401,47,3098,66,41.94428539,49,2209
"894","Normal",52,38,1,0,0,10,0,331,17526,103,19.09975404,2.213101449,4.832683538,10.69521894,76,5776,52,17526,103,45.6477383,76,2704
"2169","Normal",41,11,2,0,0,4,0,723,29746,69,9.878795207,1.604283866,7.257820446,11.64360424,51,2601,41,29746,69,37.37448335,51,1681
"23753","Disease A",55,4,1,0,1,1,0,220,12247,96,12.26728836,1.80006982,2.694778462,4.850789381,62,3844,55,12247,96,48.76954154,62,3025
"5313","Normal",37,12,3,0,0,12,1,350,13064,57,6.377415509,2.215617639,5.87975824,13.02729607,43,1849,37,13064,57,34.7031493,43,1369
"1492","Normal",34,6,5,0,0,10,0,155,5348,52,4.758693233,1.561206397,3.394934362,5.300193243,36,1296,34,5348,52,32.42261258,36,1156
"16237","Disease A",62,3,2,0,1,0,0,96,5989,106,16.51451382,2.28196642,2.162021453,4.933660355,71,5041,62,5989,106,56.61529534,71,3844
"12420","Normal",33,2,9,0,0,7,0,96,3205,44,4.194490434,1.40282637,2.888736473,4.052395701,34,1156,33,3205,44,29.85520613,34,1089
"10789","Normal",49,1,6,0,0,14,1,84,4178,85,16.35688293,1.346831137,3.535533906,4.761767149,61,3721,49,4178,85,42.02111147,61,2401
"28871","Disease A",45,3,0,0,0,0,0,45,2065,62,6.453250688,2.140128643,1.494369615,3.198143217,51,2601,45,2065,62,38.45430188,51,2025
"8796","Normal",35,5,1,0,0,6,0,491,17423,49,5.276470461,1.851038025,4.340394024,8.034234379,38,1444,35,17423,49,32.67534556,38,1225
"14658","Normal",38,13,1,0,0,8,0,188,7264,52,6.539161896,1.558599086,3.444444444,5.368507962,40,1600,38,7264,52,35.06172369,40,1444
"27094","Disease A",52,2,1,1,0,9,1,95,5021,79,10.11772806,2.062733043,1.295279449,2.67181572,57,3249,52,5021,79,42.04408714,57,2704
"26433","Disease A",59,4,5,1,2,2,0,27,1601,86,16.82370462,1.430970697,4.474671808,6.403124237,83,6889,59,1601,86,57.03637566,83,3481
"19625","Disease A",57,4,2,1,1,2,0,302,17454,118,16.8829237,1.589232751,3.640677323,5.785883639,74,5476,57,17454,118,50.73988987,74,3249
"7058","Normal",34,3,2,0,0,5,0,291,9912,47,4.500477256,1.872699237,2.995340628,5.609372109,35,1225,34,9912,47,33.2550283,35,1156
"20977","Disease A",45,1,0,0,0,0,0,24,1090,57,6.150880696,2.081171514,1.07888972,2.245354552,48,2304,45,1090,57,35.50410774,48,2025
"29052","Disease A",47,2,2,1,2,1,0,45,2135,61,6.200358413,2.74360008,1.517392783,4.163118961,49,2401,47,2135,61,42.71169499,49,2209
"7177","Normal",40,6,1,0,0,11,0,198,8018,58,7.922605428,1.558270615,3.920960425,6.109917412,44,1936,40,8018,58,37.6337346,44,1600
"19003","Disease A",74,4,7,2,2,3,0,232,17310,184,28.72326343,3.310567231,2.490427648,8.244728163,100,10000,74,17310,184,64.95270162,100,5476
"4003","Normal",41,6,2,0,0,5,0,26,1089,56,8.662474331,1.577266542,2.560660172,4.038843615,43,1849,41,1089,56,34.20357606,43,1681
"1055","Normal",39,4,3,0,0,3,0,72,2823,54,6.439893029,1.964232055,1.902368927,3.736694028,40,1600,39,2823,54,33.5217591,40,1521
"26703","Disease A",71,4,5,2,2,5,0,891,64071,150,25.82062792,1.751041225,5.537414479,9.696241031,103,10609,71,64071,150,73.64861823,103,5041
"3042","Normal",48,7,2,0,0,8,0,402,19340,78,12.74237651,1.446354371,5.741002725,8.303524385,59,3481,48,19340,78,45.26030297,59,2304
"1344","Normal",40,4,1,0,0,2,0,155,6327,63,7.345395749,1.711980739,7.66948923,13.13001784,41,1681,40,6327,63,37.37145711,41,1600
"8969","Normal",33,2,1,0,0,7,0,131,4377,44,3.525263241,1.435486803,3.13256699,4.496758573,34,1156,33,4377,44,30.2124791,34,1089
"7041","Normal",40,4,14,1,0,4,0,736,29558,66,8.370334521,1.489307025,8.349861091,12.43550678,49,2401,40,29558,66,38.73251709,49,1600
"11143","Normal",37,39,0,0,0,1,0,595,22185,68,8.797344901,1.856819163,4.236700149,7.866786024,45,2025,37,22185,68,35.98627189,45,1369
"24154","Disease A",54,4,6,3,0,50,8,313,16976,99,13.19574915,1.799127299,3.076465602,5.534953249,64,4096,54,16976,99,50.14719548,64,2916
"12433","Normal",28,6,3,0,0,12,1,64,1851,33,1.089724736,1.548109068,3.542718848,5.484515175,28,784,28,1851,33,26.65198163,28,784
"1575","Normal",50,28,2,0,0,4,0,778,38961,114,16.75488648,1.602897133,9.924319891,15.9076639,61,3721,50,38961,114,47.34057266,61,2500
"25439","Disease A",59,5,1,1,1,2,0,751,44888,131,20.19337276,1.772793007,3.974222357,7.045473605,71,5041,59,44888,131,58.24337112,71,3481
"1532","Normal",47,3,4,0,0,11,0,331,15878,90,14.13647336,1.648134734,3.362471652,5.541806323,57,3249,47,15878,90,43.76502763,57,2209
"7623","Normal",32,3,4,0,0,3,0,36,1171,39,3.543381938,1.77311397,2.287157844,4.055391524,33,1089,32,1171,39,28.96789411,33,1024
"26221","Disease A",44,3,1,0,0,5,0,25,1119,55,4.137632173,2.11641058,1.086601401,2.2996947,45,2025,44,1119,55,36.73581359,45,1936
"1866","Normal",35,3,2,0,0,10,0,179,6319,57,6.308192775,1.565208559,3.586225317,5.613190563,37,1369,35,6319,57,31.41548919,37,1225
"6866","Normal",48,14,3,0,0,4,0,82,3968,87,15.89408542,1.73490701,3.828427125,6.641965057,57,3249,48,3968,87,39.02485137,57,2304
"23255","Disease A",47,2,0,0,0,0,0,108,5134,81,8.070866675,2.194385871,1.062207373,2.330892851,50,2500,47,5134,81,42.05694993,50,2209
"29013","Disease A",46,2,1,0,0,3,0,36,1665,67,6.936217349,2.159338255,2.5,5.398345638,48,2304,46,1665,67,39.10669167,48,2116
"24040","Disease A",50,3,1,1,0,12,1,235,11811,83,9.995318053,1.882204304,2.657628784,5.002200336,54,2916,50,11811,83,46.17952941,54,2500
"25177","Disease A",47,3,4,2,0,32,4,118,5617,72,7.799934811,2.130613093,3.592074017,7.65331993,50,2500,47,5617,72,43.30410792,50,2209
"3231","Normal",43,51,1,0,0,2,0,257,11260,88,12.9613313,1.773447499,3.604213624,6.391883636,57,3249,43,11260,88,42.24451706,57,1849
"7740","Normal",39,8,3,0,0,12,1,237,9412,77,9.953054362,1.403580776,3.912165639,5.491040482,41,1681,39,9412,77,35.583799,41,1521
"26181","Disease A",51,2,0,0,0,0,0,37,1914,78,10.36626545,1.478934022,1.290358487,1.908355067,57,3249,51,1914,78,40.32771162,57,2601
"6375","Normal",34,4,4,0,0,7,0,400,13926,47,4.807546152,1.349504571,3.786949268,5.110505346,36,1296,34,13926,47,33.05317685,36,1156
"26675","Disease A",49,3,5,2,0,37,6,140,6982,89,10.51936989,2.400918016,1.832709915,4.400186253,56,3136,49,6982,89,45.33360469,56,2401
"6394","Normal",49,8,2,0,0,2,0,166,8151,98,16.88907824,1.450746425,3.864789853,5.606830061,58,3364,49,8151,98,41.14981445,58,2401
"23363","Disease A",68,6,3,1,1,3,0,264,17968,131,24.44381312,1.769130712,4.631874562,8.19439154,88,7744,68,17968,131,65.93120841,88,4624
"15139","Disease A",62,3,1,0,1,1,0,195,12161,113,18.04112112,3.334470655,1.793746235,5.981194183,80,6400,62,12161,113,54.08857882,80,3844
"25801","Disease A",64,3,9,2,3,1,0,351,22544,134,21.13718588,1.82718266,4.09130637,7.475564054,84,7056,64,22544,134,67.69129273,84,4096
"28519","Disease A",44,3,11,3,3,3,0,59,2604,63,4.567757303,2.118853808,1.399504517,2.965345475,45,2025,44,2604,63,35.81260076,45,1936
"29024","Disease A",47,3,2,1,1,2,0,39,1864,62,6.350852961,2.222263828,1.151864844,2.559747579,50,2500,47,1864,62,40.25654908,50,2209
"11294","Normal",46,13,2,0,0,2,0,241,11288,79,11.44661069,2.743913902,5.036351842,13.81931583,61,3721,46,11288,79,43.06918106,61,2116
"4234","Normal",33,3,3,0,0,6,0,20,671,40,2.949576241,2.13828542,1.030330086,2.2031398,34,1156,33,671,40,28.93700054,34,1089
"5778","Normal",29,11,1,0,0,6,0,56,1669,35,1.767766953,1.708647286,3.204011143,5.474524945,29,841,29,1669,35,26.87537375,29,841
"28125","Disease A",54,4,0,0,0,1,0,81,4408,86,13.4957698,2.526117848,2.133529155,5.389546078,66,4356,54,4408,86,46.655025,66,2916
"12139","Normal",37,7,2,0,0,9,0,509,19197,75,8.572240115,1.787526241,4.074342021,7.282993279,41,1681,37,19197,75,37.65430597,41,1369
"19584","Disease A",54,5,1,0,1,3,0,164,8940,90,12.36339996,1.743408591,3.398865299,5.925610961,60,3600,54,8940,90,49.78925097,60,2916
"12864","Normal",37,4,1,0,0,6,0,314,11682,55,6.721009933,1.708917102,4.207286129,7.189903219,41,1681,37,11682,55,35.32893655,41,1369
"24262","Disease A",71,4,16,3,4,2,0,151,10851,121,23.24003739,1.856027223,2.808834727,5.21327372,85,7225,71,10851,121,67.26935084,85,5041
"26195","Disease A",55,4,4,3,0,39,6,27,1496,91,15.91993858,1.178030179,4.949747468,5.830951895,79,6241,55,1496,91,49.62488922,79,3025
"26047","Disease A",50,3,0,0,0,3,0,174,8807,86,10.30344212,1.907480264,2.258942304,4.308887863,55,3025,50,8807,86,46.512574,55,2500
"6487","Normal",37,3,2,0,0,8,0,368,13618,53,5.973901573,1.614971547,3.886837011,6.277131181,40,1600,37,13618,53,33.99240644,40,1369
"13328","Normal",36,5,1,0,0,10,0,177,6454,50,5.075698165,1.463257538,4.158291245,6.084651009,39,1521,36,6454,50,33.2112737,39,1296
"21409","Disease A",78,4,3,1,2,2,0,33,2580,128,23.44044678,2.371708245,4,9.486832981,124,15376,78,2580,128,73.02490235,124,6084
"5117","Normal",50,9,5,0,0,6,0,338,16976,79,13.12186846,1.752702425,6.546021745,11.47322818,56,3136,50,16976,79,43.35831854,56,2500
"24022","Disease A",64,7,2,1,0,10,1,35,2273,125,25.91028478,1.939144087,1.693474328,3.283890729,90,8100,64,2273,125,64.97999692,90,4096
"9697","Normal",36,12,2,0,0,4,0,836,30886,65,7.274192436,1.574654944,5.695561894,8.968544693,42,1764,36,30886,65,36.2005809,42,1296
"8321","Normal",51,5,2,0,0,10,0,396,20375,105,19.39052408,2.000446206,3.590539456,7.182681035,64,4096,51,20375,105,51.89786979,64,2601
"13046","Normal",38,8,19,6,0,3,0,400,15339,66,8.856353651,1.802888469,3.773638544,6.803449419,41,1681,38,15339,66,35.82575889,41,1444
"20969","Disease A",59,3,5,2,0,34,5,171,10229,96,13.57931003,1.448733588,3.632703798,5.262820009,69,4761,59,10229,96,53.96939787,69,3481
"10772","Normal",36,4,1,0,0,6,0,467,17150,65,6.361689404,2.23692393,4.562923696,10.20691321,41,1681,36,17150,65,34.85900017,41,1296
"25033","Disease A",48,3,1,1,0,2,0,58,2802,73,8.951016124,1.595808863,2.375438248,3.790745411,51,2601,48,2802,73,39.96636517,51,2304
"28637","Disease A",59,3,0,1,0,0,0,23,1376,83,12.98326682,1.884746863,3.397339114,6.403124237,80,6400,59,1376,83,56.59966201,80,3481
"24467","Disease A",61,4,3,1,1,10,1,830,51302,136,18.6937268,1.85169833,4.924674778,9.119012061,76,5776,61,51302,136,65.05393499,76,3721
"15010","Disease A",56,3,4,1,0,14,1,267,15147,100,13.1023056,1.399010801,3.909794218,5.469844339,65,4225,56,15147,100,50.22444009,65,3136
"17909","Disease A",63,4,4,2,0,25,3,559,35355,124,19.54770322,1.72851474,4.030520564,6.966814203,73,5329,63,35355,124,63.62669246,73,3969
"15087","Disease A",79,4,1,0,1,1,0,786,62630,173,33.35785993,2.044967615,3.877616453,7.929600072,113,12769,79,62630,173,77.22610635,113,6241
"22411","Disease A",60,4,7,3,0,48,7,317,19075,139,19.41218194,1.529351264,4.011958359,6.135693587,73,5329,60,19075,139,59.57777305,73,3600
"14758","Normal",29,3,1,0,0,3,0,25,731,33,1.232882801,1.900292375,4.242640687,8.062257748,29,841,29,731,33,26.59248014,29,841
"14389","Normal",42,10,4,1,0,12,1,103,4368,73,12.79487155,1.619183336,2.575839865,4.170756985,46,2116,42,4368,73,40.29466707,46,1764
"25485","Disease A",55,2,3,1,0,19,3,88,4886,88,11.91112925,1.604540959,2.098656122,3.367379707,64,4096,55,4886,88,48.05631167,64,3025
"3942","Normal",48,8,2,0,0,5,0,316,15445,93,15.50489918,1.971342935,4.883739313,9.62752499,62,3844,48,15445,93,45.48493978,62,2304
"12819","Normal",31,3,3,0,0,7,0,93,2939,40,3.446987153,1.651889937,2.800831345,4.626665112,33,1089,31,2939,40,29.13317586,33,961
"17283","Disease A",57,3,3,2,0,24,4,805,45942,113,13.32494042,1.835173888,3.809318562,6.990761956,67,4489,57,45942,113,52.81466482,67,3249
"13861","Normal",41,6,10,0,0,2,0,447,18377,64,9.319460767,1.361765518,5.239568007,7.135063041,47,2209,41,18377,64,38.45410408,47,1681
"24031","Disease A",75,9,3,1,0,12,1,245,18387,145,24.87380394,1.4524447,4.241456947,6.160481663,103,10609,75,18387,145,70.78948383,103,5625
"7398","Normal",35,62,2,0,1,2,0,35,1240,43,4.37198876,1.61450731,1.883883476,3.041543643,36,1296,35,1240,43,29.3091892,36,1225
"24052","Disease A",52,2,3,2,0,26,3,68,3560,79,9.776171511,1.551510216,2.06871487,3.209632255,57,3249,52,3560,79,43.48867331,57,2704
"22118","Disease A",52,3,10,2,1,18,2,450,23442,93,10.24228707,1.760076494,5.563009792,9.791322769,65,4225,52,23442,93,51.16726384,65,2704
"10816","Normal",37,17,2,0,0,12,1,676,25236,71,7.800678927,1.43639229,4.778133436,6.863274031,42,1764,37,25236,71,34.69595325,42,1369
"10112","Normal",33,1,10,0,0,3,0,76,2516,44,3.354101966,1.935484703,2.039431949,3.94728934,33,1089,33,2516,44,31.02269967,33,1089
"15623","Disease A",84,6,2,1,1,4,0,375,31832,161,33.91774364,2.041136291,3.414522569,6.969505932,123,15129,84,31832,161,74.88483603,123,7056
"6151","Normal",38,4,5,0,0,2,0,184,7083,63,8.430341166,2.29293447,4.260329751,9.768656939,47,2209,38,7083,63,36.81630369,47,1444
"907","Normal",46,21,2,0,0,2,0,229,10730,87,12.65894578,1.633173869,3.784740025,6.181138511,60,3600,46,10730,87,41.60633769,60,2116
"11148","Normal",43,18,1,0,0,3,0,831,36251,70,10.64513471,1.54721827,13.79799292,21.34850673,56,3136,43,36251,70,43.2733594,56,1849
"7899","Normal",36,43,0,0,0,0,0,98,3625,52,5.755210594,4.054910287,2.561116027,10.38509572,40,1600,36,3625,52,32.88166787,40,1296
"27971","Disease A",53,2,1,0,0,6,0,59,3141,74,9.872062962,1.983686589,1.583413948,3.140997014,58,3364,53,3141,74,44.18067681,58,2809
"28227","Disease A",49,3,6,2,0,30,4,102,5016,67,6.282562235,1.741148863,2.295912869,3.997526082,51,2601,49,5016,67,43.07767722,51,2401
"27590","Disease A",51,3,1,0,0,4,0,46,2355,91,13.7958721,2.59986267,1.747546896,4.543381938,61,3721,51,2355,91,49.08200768,61,2601
"21368","Disease A",60,3,17,4,4,3,0,160,9682,115,19.75775164,5.534119926,2.079738666,11.50952319,85,7225,60,9682,115,54.93882962,85,3600
"6571","Normal",31,1,1,0,0,1,0,31,971,36,2.063507818,2.000057625,4.03101273,8.062257748,31,961,31,971,36,29.4766173,31,961
"21585","Disease A",50,3,4,1,0,16,2,186,9309,81,8.256310718,1.648427474,2.53662833,4.181447829,53,2809,50,9309,81,43.30629843,53,2500
"12542","Normal",33,2,1,0,0,4,0,101,3354,47,4.040635182,1.514774638,3.447318339,5.221910388,35,1225,33,3354,47,31.07018564,35,1089
"8566","Normal",38,4,6,0,0,4,0,736,28292,59,7.174361811,1.649022522,7.045485783,11.61816474,43,1849,38,28292,59,36.60686411,43,1444
"20454","Disease A",76,4,2,1,1,1,0,334,25386,163,32.8028953,2.165207173,2.071887639,4.486065977,101,10201,76,25386,163,73.59878693,101,5776
"27207","Disease A",61,3,4,1,2,1,0,202,12492,118,17.13689783,2.761706525,2.074955284,5.730417549,73,5329,61,12492,118,53.04010252,73,3721
"13281","Normal",30,5,0,0,0,2,0,92,2774,38,2.288914685,1.789322183,2.504677353,4.481674749,30,900,30,2774,38,27.73339691,30,900
"1893","Normal",35,3,2,0,0,8,0,162,5826,46,5.572751166,1.405375535,3.78798701,5.323544271,40,1600,35,5826,46,33.77750365,40,1225
"6743","Normal",35,7,11,2,1,7,0,27,966,43,5.897268671,2.236067977,3,6.708203932,41,1681,35,966,43,32.40313199,41,1225
"2557","Normal",36,11,2,0,0,8,0,117,4233,56,6.91152883,1.793189131,3.513197198,6.299827029,37,1369,36,4233,56,33.26454441,37,1296
"28077","Disease A",57,2,0,0,0,1,0,106,6079,95,15.28780498,1.777722303,1.650835454,2.934727005,66,4356,57,6079,95,46.9263775,66,3249
"8827","Normal",31,1,1,0,0,4,0,49,1561,38,3.106937596,1.571960743,2.25,3.536911673,32,1024,31,1561,38,29.26201131,32,961
"16531","Disease A",59,2,1,0,0,1,0,45,2682,97,17.65408357,1.971412153,1.160188621,2.287209946,66,4356,59,2682,97,49.12274875,66,3481
"17120","Disease A",67,4,10,2,3,3,0,289,19529,115,21.17075086,1.398209986,5.582052213,7.804881148,94,8836,67,19529,115,58.25388889,94,4489
"2955","Normal",37,6,2,0,0,3,0,235,8720,59,7.430529319,1.790783652,3.267071114,5.850617542,39,1521,37,8720,59,31.13047354,39,1369
"18835","Disease A",60,2,2,1,0,17,2,141,8503,93,14.08610804,2.094236241,2.071046956,4.337261591,73,5329,60,8503,93,54.75172849,73,3600
"3711","Normal",40,4,2,0,0,5,0,864,35265,72,10.35883949,1.999244264,4.760393328,9.517189055,47,2209,40,35265,72,40.06392461,47,1600
"25142","Disease A",60,4,1,0,1,3,0,130,7828,96,16.55015687,1.785066307,2.796348514,4.991667515,70,4900,60,7828,96,56.30937892,70,3600
"8241","Normal",38,4,1,0,0,4,0,348,13444,70,10.32698173,1.62384238,3.750130233,6.089620403,40,1600,38,13444,70,37.55983732,40,1444
"19834","Disease A",87,6,2,1,1,2,0,327,28690,180,38.90512258,1.628278584,6.793694675,11.06202754,148,21904,87,28690,180,79.84256297,148,7569
"15414","Disease A",80,4,2,1,1,3,0,403,32319,153,26.87462851,1.512992238,7.346661822,11.11544232,115,13225,80,32319,153,72.33942601,115,6400
"1517","Normal",33,3,1,0,0,5,0,343,11523,51,4.02796348,1.794298753,4.498607018,8.071844965,35,1225,33,11523,51,31.71382607,35,1089
"13682","Normal",38,3,6,0,0,2,0,350,13567,71,10.0531445,1.781977128,2.76549289,4.928045076,42,1764,38,13567,71,35.18664519,42,1444
"14756","Normal",40,6,2,0,0,3,0,331,13341,66,8.8733962,1.383627597,4.911269837,6.795368484,45,2025,40,13341,66,38.10123262,45,1600
"12232","Normal",35,5,1,0,0,2,0,772,27747,53,5.205492317,1.594266343,4.773496626,7.61022501,39,1521,35,27747,53,34.31619204,39,1225
"21524","Disease A",53,3,3,2,0,21,3,162,8668,93,12.01824744,1.86538404,2.055938914,3.835115637,61,3721,53,8668,93,50.92544781,61,2809
"28076","Disease A",63,2,3,1,0,18,2,80,5057,111,17.97811169,1.635637247,1.847271824,3.0214666,71,5041,63,5057,111,53.29270588,71,3969
"22115","Disease A",68,2,1,0,1,1,0,108,7415,122,21.89981397,1.61601497,2.130309893,3.442612678,79,6241,68,7415,122,55.86392197,79,4624
"18672","Disease A",70,4,2,1,1,2,0,446,31271,140,22.3817771,2.221192578,3.870872342,8.597952918,91,8281,70,31271,140,62.99252572,91,4900
"1857","Normal",37,9,7,1,0,23,2,130,4846,50,6.550983485,1.441005525,3.47006076,5.000376727,40,1600,37,4846,50,33.77573093,40,1369
"6128","Normal",48,8,4,0,0,2,0,109,5315,69,11.88283783,1.688224475,2.626396616,4.433947047,55,3025,48,5315,69,41.30619608,55,2304
"12068","Normal",37,4,3,0,0,12,1,243,9130,54,6.342099197,1.530972022,3.754232386,5.747624748,41,1681,37,9130,54,35.66222425,41,1369
"3168","Normal",34,3,3,0,0,5,0,125,4341,45,4.752262619,1.649516519,3.590758839,5.923016019,37,1369,34,4341,45,31.40840652,37,1156
"20850","Disease A",78,3,1,0,0,1,0,121,9494,144,26.89603492,2.194505439,2.149861849,4.717883521,105,11025,78,9494,144,71.20451281,105,6084
"18466","Disease A",70,4,10,5,0,67,11,195,13769,143,25.67578925,1.421832313,3.707879105,5.271982323,92,8464,70,13769,143,64.61039053,92,4900
"21308","Disease A",47,4,6,2,0,36,5,117,5501,79,7.887564593,2.075545656,1.604210342,3.329611806,49,2401,47,5501,79,39.17842159,49,2209
"27080","Disease A",47,3,1,0,0,6,1,86,4064,66,6.920646562,2.013939397,1.805906017,3.636985274,51,2601,47,4064,66,40.06375733,51,2209
"2010","Normal",43,21,2,0,0,11,0,187,8160,71,10.65326141,1.346850361,4.105509977,5.529507592,49,2401,43,8160,71,38.8111429,49,1849
"25261","Disease A",55,2,1,0,0,5,0,173,9611,79,10.74991598,2.894623056,1.673579854,4.844382832,61,3721,55,9611,79,48.52858046,61,3025
"18533","Disease A",60,4,1,1,1,2,0,376,22767,123,18.9946101,1.986611138,3.234472617,6.425639327,77,5929,60,22767,123,59.04249281,77,3600
"28860","Disease A",43,3,3,1,1,3,0,33,1430,52,3.12855858,1.929990704,3.181980515,6.141192815,44,1936,43,1430,52,37.48211695,44,1849
"18727","Disease A",67,3,2,1,1,3,0,105,7052,104,17.40306486,1.815898386,2.220072669,4.031426377,82,6724,67,7052,104,58.37261263,82,4489
"19996","Disease A",56,7,6,2,2,7,1,26,1469,85,14.50596694,1.354783554,2.707106781,3.667543746,66,4356,56,1469,85,50.58427849,66,3136
"20444","Disease A",53,3,5,2,0,29,4,177,9528,106,12.18246401,1.805723354,2.857118874,5.159166277,56,3136,53,9528,106,46.56748945,56,2809
"4945","Normal",33,2,1,0,0,8,1,396,13176,46,4.357160599,2.134650206,5.024580672,10.72572217,35,1225,33,13176,46,32.21138358,35,1089
"3064","Normal",37,7,1,0,0,12,1,168,6276,50,5.66894212,1.37261068,3.610918027,4.956384649,40,1600,37,6276,50,33.1046321,40,1369
"2713","Normal",39,10,3,0,0,5,0,105,4173,71,9.342172685,1.480396842,3.292802056,4.874653767,43,1849,39,4173,71,35.68126092,43,1521
"3587","Normal",38,4,1,0,0,5,0,474,18441,63,7.174144857,1.410905719,4.994266963,7.046439821,42,1764,38,18441,63,37.37225781,42,1444
"28120","Disease A",61,5,2,1,1,2,0,138,8485,98,17.30983636,2.220322163,3.957960927,8.787948367,78,6084,61,8485,98,59.69008123,78,3721
"29417","Disease A",48,3,7,2,3,1,0,23,1113,58,5.154145651,1.922333101,1.176776695,2.262156794,48,2304,48,1113,58,36.80678104,48,2304
"17905","Disease A",52,3,2,1,0,15,2,613,32189,129,16.23743083,2.016316326,2.521572544,5.084287888,56,3136,52,32189,129,56.08075045,56,2704
"5370","Normal",42,12,3,0,0,15,1,563,24054,79,12.49347965,1.652217376,4.941582731,8.164568854,58,3364,42,24054,79,39.01907809,58,1764
"12313","Normal",51,10,4,0,0,7,0,303,15721,86,13.93502129,1.782032823,4.942177651,8.807122793,63,3969,51,15721,86,45.08012668,63,2601
"783","Normal",45,3,2,0,0,2,0,464,21162,80,13.29506001,1.51609516,4.656817319,7.0601782,54,2916,45,21162,80,42.66080128,54,2025
"15775","Disease A",87,10,4,1,1,7,1,345,30017,176,35.64836318,1.867900898,3.276167738,6.119556661,120,14400,87,30017,176,76.09783939,120,7569
"11235","Normal",44,11,1,0,0,8,0,297,13204,85,12.99702116,1.477890003,4.005157144,5.919181704,51,2601,44,13204,85,43.17757555,51,1936
"19361","Disease A",58,3,2,1,0,14,1,267,15674,132,19.17551497,2.539839794,2.32846898,5.913938173,70,4900,58,15674,132,53.73732757,70,3364
"20407","Disease A",58,5,2,1,1,2,0,775,45391,137,16.20207076,1.974521393,4.517840413,8.920572543,71,5041,58,45391,137,57.18856191,71,3364
"4764","Normal",30,24,2,0,0,5,0,22,680,32,1.566698904,1.519682688,2.207106781,3.354101966,30,900,30,680,32,27.8861321,30,900
"25400","Disease A",79,3,2,1,1,1,0,42,3333,120,25.44976377,1.425219281,5.656854249,8.062257748,110,12100,79,3333,120,74.77474109,110,6241
"1410","Normal",37,10,1,0,0,12,1,211,7903,59,7.129472904,1.312805779,4.300698949,5.645982432,41,1681,37,7903,59,34.23483163,41,1369
"10095","Normal",35,5,1,0,0,10,0,140,4979,51,5.428759395,1.368523558,3.853392848,5.27345889,37,1369,35,4979,51,32.87454508,37,1225
"23540","Disease A",54,4,3,1,2,2,0,202,10932,98,11.91242799,1.596063315,3.578220856,5.711067042,65,4225,54,10932,98,49.67074761,65,2916
"8847","Normal",37,4,1,0,0,8,0,230,8650,61,7.689348929,1.692804738,2.724617062,4.612244674,41,1681,37,8650,61,34.56355205,41,1369
"28948","Disease A",47,3,1,0,1,1,0,25,1199,66,8.442748368,1.134863664,4.74520859,5.385164807,59,3481,47,1199,66,43.37741348,59,2209
"7761","Normal",37,2,2,0,0,7,0,399,15109,60,7.116643629,1.426213682,4.741832165,6.762865913,43,1849,37,15109,60,35.79442137,43,1369
"13878","Normal",34,6,1,0,0,7,0,319,11011,51,4.870743057,1.653138839,3.584742246,5.926076633,35,1225,34,11011,51,33.5941572,35,1156
"2957","Normal",34,3,1,0,0,3,0,641,22177,51,5.294008034,1.581400108,4.523783806,7.153912201,37,1369,34,22177,51,31.51987215,37,1156
"1308","Normal",43,5,3,0,0,4,0,202,8729,72,10.93251124,1.923730086,6.812671851,13.1057418,56,3136,43,8729,72,39.07285655,56,1849
"10700","Normal",41,15,2,0,0,6,0,116,4862,62,8.820039878,1.920659279,4.832704972,9.281979649,46,2116,41,4862,62,36.12144267,46,1681
"9874","Normal",35,9,4,1,0,32,3,102,3637,46,4.266835168,1.570971452,3.39411255,5.332053922,38,1444,35,3637,46,31.11395879,38,1225
"7003","Normal",37,49,0,0,0,3,0,394,14785,56,6.558793067,2.114321729,4.495352255,9.504620952,41,1681,37,14785,56,35.03301561,41,1369
"8892","Normal",38,9,1,0,0,8,0,121,4695,57,8.369069382,1.450538406,3.454653677,5.011107837,42,1764,38,4695,57,33.27173372,42,1444
