"","Object","Ch1.mean","Ch2_d1.mean","Ch3_d1.mean","Ch4_d1.mean","Ch5_d1.mean","Ch6_d1.mean","Ch7_d1.mean","Ch1..pixels","Ch1.sum","Ch1.max","Ch1.SD","Ch1.AR","Ch1.F_min","Ch1.F_max","Ch1.mean_th","Ch1.mean_sq","Ch1_d0.mean","Ch1_d0.sum","Ch1_d0.max","Ch1_d0.SD","Ch1_d0.mean_th","Ch1_d0.mean_sq"
"19184","Disease A",54,2,0,0,0,3,0,118,6486,84,11.92739334,3.984422935,1.442542963,5.747701268,65,4225,54,6486,84,52.36629463,65,2916
"9316","Normal",33,3,0,0,0,3,0,73,2410,41,3.528746916,1.431744414,2.772187307,3.969063691,34,1156,33,2410,41,30.30619992,34,1089
"23875","Disease A",68,3,1,0,0,3,0,169,11616,116,21.00549379,2.950329235,1.599220671,4.718227499,84,7056,68,11616,116,58.83896386,84,4624
"7354","Normal",40,41,1,0,0,3,0,275,11105,93,11.69319927,1.6998841,2.52852986,4.298207706,46,2116,40,11105,93,38.87986158,46,1600
"28410","Disease A",58,3,1,0,1,1,0,69,4015,84,14.50437215,2.054361957,1.648385232,3.386379911,62,3844,58,4015,84,49.20778188,62,3364
"12650","Normal",34,1,1,0,0,7,0,222,7728,54,5.40853513,1.606439698,3.969995321,6.377558084,35,1225,34,7728,54,31.90491221,35,1156
"24576","Disease A",47,3,2,1,0,16,2,46,2197,69,7.11245081,1.6692103,1.133786921,1.892528806,51,2601,47,2197,69,40.2111276,51,2209
"17015","Disease A",63,4,4,1,1,10,1,421,26591,141,21.25526343,1.741476138,3.913748141,6.815699,80,6400,63,26591,141,61.06423548,80,3969
"29110","Disease A",51,3,0,0,0,1,0,224,11633,114,12.69402981,2.519984489,2.346885103,5.914114057,52,2704,51,11633,114,52.00802651,52,2601
"1471","Normal",34,3,7,0,0,8,0,78,2708,45,3.569816486,1.518121554,2.691280705,4.085691246,35,1225,34,2708,45,32.88441295,35,1156
